ben,5 0 0 0 0 0 0 1 0 1 -3 5 0 0 0 5 5 0 0 0 0 5 0 0 0 0 0 0 0 0 1 3 0 1 0 -5 0 0 5 5 0 5 5 5 0 5 5 0 0 0 5 5 5 5 -5 
moose,5 5 0 0 0 0 3 0 0 1 0 5 3 0 5 0 3 3 5 0 0 0 0 0 5 0 0 0 0 0 3 5 0 0 0 0 0 5 -3 0 0 0 5 0 0 0 0 0 0 5 5 0 3 0 0 
reuven,5 -5 0 0 0 0 -3 -5 0 1 -5 5 0 1 0 1 -3 1 -5 0 0 0 0 0 0 3 0 0 0 0 -5 1 0 1 0 -5 0 3 -3 3 0 1 5 1 0 0 0 0 0 1 3 1 5 1 3 
cust1,3 3 5 0 0 0 3 0 0 3 0 3 0 0 0 0 0 3 0 5 0 0 0 1 3 1 0 0 0 0 0 3 0 3 0 0 0 1 3 0 0 3 3 0 0 0 5 0 0 3 1 0 0 0 0 
cust2,3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 3 1 0 0 0 3 0 0 0 3 0 3 3 5 0 3 0 3 
francois,3 3 5 0 0 0 3 0 0 3 0 3 0 0 0 0 0 3 0 5 0 0 0 1 3 1 0 0 0 0 0 3 0 3 0 0 0 1 3 0 0 3 3 0 0 0 5 0 0 3 1 0 0 0 0 
jim c,5 3 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 0 0 0 0 
iren,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 5 0 0 0 1 0 0 0 1 0 0 5 0 0 0 5 3 5 0 0 0 0 5 3 0 3 0 -5 
cust3,0 0 0 -3 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 5 5 0 0 0 0 0 0 0 0 0 1 1 0 -3 5 3 0 0 1 0 0 0 1 0 0 0 0 
cust4,0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 -5 0 0 -5 5 0 0 0 0 0 0 0 -3 0 0 0 -3 
cust5,0 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 5 3 0 0 0 0 0 5 0 3 0 3 5 3 0 0 0 3 0 5 5 0 0 5 0 
cust6,1 1 3 3 -3 3 3 5 5 5 5 1 3 1 1 0 5 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 3 0 3 5 5 5 0 -3 0 0 0 0 0 0 3 1 1 
cust7,0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -3 0 0 5 5 0 0 5 0 0 3 0 0 0 5 0 0 0 0 0 0 0 0 0 5 0 5 
cust8,3 0 0 5 0 0 0 5 0 5 3 0 0 0 0 0 3 0 5 5 0 0 0 0 0 0 0 0 5 0 5 5 3 0 0 5 0 0 5 5 5 3 5 5 0 0 5 0 0 5 5 0 5 0 5 
cust9,5 0 0 0 0 0 3 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 0 0 0 0 3 
andrew,3 3 1 0 3 0 3 0 0 -3 0 5 3 0 1 0 0 5 3 0 0 0 0 1 0 3 0 1 0 0 3 5 3 3 0 0 0 5 0 5 0 3 3 0 -3 0 0 5 1 5 3 0 3 0 0 
ma,0 0 0 0 5 0 0 0 0 3 0 0 0 0 0 0 0 0 -3 0 0 0 0 -3 0 0 0 0 0 0 0 3 0 3 0 0 0 -3 0 0 0 0 3 0 0 0 0 0 0 -3 -3 0 0 0 0 
matt c,0 3 0 0 0 0 0 0 0 5 0 5 0 0 -3 5 0 0 1 0 0 3 0 0 3 0 0 0 0 0 1 3 3 0 0 0 0 0 5 0 0 0 5 3 0 3 0 0 0 5 5 3 0 0 0 
ocelot,5 1 0 0 0 0 0 0 0 0 0 5 0 0 3 0 0 5 3 0 0 0 0 3 0 1 1 0 0 0 3 3 0 5 0 -3 0 3 0 0 0 5 3 0 0 0 0 0 0 0 3 0 1 0 0 
cust10,5 0 0 0 1 0 0 0 0 -5 0 5 0 0 0 0 0 3 -3 3 0 0 0 5 0 5 0 0 0 0 3 3 0 5 0 0 0 5 0 0 0 0 3 0 0 0 0 5 0 0 0 0 0 0 0 
crom,0 0 3 0 0 0 0 0 0 -3 0 0 0 0 5 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 
joe,3 0 0 0 0 0 0 0 0 3 0 5 0 0 5 0 1 1 3 0 1 0 3 0 0 0 0 3 3 0 5 3 1 3 0 1 0 3 1 0 0 5 3 0 5 0 1 0 0 1 5 0 0 0 0 
priscilla,5 0 0 0 0 0 5 0 0 0 0 3 3 0 1 0 0 0 0 0 0 0 3 5 0 0 0 0 0 0 0 1 0 3 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 -3 1 0 1 0 -3 
harry potter,0 0 0 0 0 0 0 0 0 -5 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 3 0 0 0 0 5 0 0 0 0 0 0 3 0 0 0 0 0 
i ned,0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 -3 0 0 0 0 0 0 1 1 0 0 0 -3 0 0 3 1 0 3 1 0 0 0 0 0 3 0 0 0 0 0 -3 
ender,5 0 0 0 0 0 5 0 0 3 0 5 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 0 5 0 3 
apollo,0 0 5 0 0 0 0 3 0 0 1 0 0 0 -5 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 3 -5 0 0 0 0 0 3 0 0 0 0 3 3 0 0 0 0 3 0 -3 0 0 0 1 
zax,0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 5 0 0 0 5 0 0 0 3 0 0 5 5 0 0 0 1 
jaluka,0 5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 5 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 
sanity,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 5 0 0 5 0 3 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 
brix,1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 -3 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 
sage32,0 0 0 0 0 0 0 -3 0 3 1 0 0 0 0 0 0 0 3 5 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 -5 0 0 0 1 0 0 5 3 3 0 0 0 1 0 0 0 0 0 5 
clipper,5 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 -3 0 0 0 0 0 0 0 0 0 0 0 1 5 0 3 0 0 0 0 0 0 0 5 5 0 0 0 0 0 3 5 5 0 0 0 0 
yjam,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 3 0 0 0 0 3 0 0 0 0 0 5 5 0 5 0 0 
martin,1 -3 0 0 0 0 0 0 0 0 0 3 3 0 -3 0 0 0 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -3 0 0 0 5 0 0 0 0 0 1 3 5 0 -3 0 0 
mike,5 0 0 0 0 0 5 0 0 1 0 5 3 0 0 0 0 3 0 0 0 0 0 3 0 5 0 0 0 0 5 5 5 3 0 0 0 3 0 0 0 5 3 0 0 0 0 5 0 5 3 0 0 0 0 
